query,searched_part,url,title,price,currency,price_num,matched_part,matched_brand,part_match,sale_type,units,price_per_unit,desc_excerpt,source,accepted,decision_reason,spec:Marca,spec:Código do Produto,spec:Garantia,spec:Conteúdo,spec:Diâmetro,spec:Posição,spec:Código da Montadora,spec:Aplicação,spec:NCM,spec:Composição
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/6487181/bucha-da-bandeja-inferior-da-suspensao-dianteira-sampel-8366-unitario,Bucha da Bandeja Inferior da Suspensão Dianteira - Sampel - 8366 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,8366,,,,Dianteira,,NISSAN FRONTIER 2007 | Todas as versões - NISSAN FRONTIER 2008 | Todas as versões - NISSAN FRONTIER 2009 | Todas as versões - NISSAN FRONTIER 2010 | T VER MAIS,,Unitário
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/6502468/bucha-traseira-da-bandeja-da-suspensao-dianteira-sampel-8382-unitario,Bucha Traseira da Bandeja da Suspensão Dianteira - Sampel - 8382 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,8382,12 Meses,Unitário,,Traseira,,MITSUBISHI ASX 2010 | 2.0 AT 2.0 L 16V DOHC L4 - MITSUBISHI ASX 2011 | Todas as versões - MITSUBISHI ASX 2012 | Todas as versões - MITSUBISHI ASX 2013 VER MAIS,,
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/1014223/bucha-da-bandeja-dianteira-traseira-automotiva-1315mm-unitaria-sampel-4893-unitario,"Bucha da Bandeja Dianteira Traseira Automotiva 13,15mm Unitária - Sampel - 4893 - Unitário",,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,4893,12 Meses,Unitário,"13,15 Mm","Dianteira, Traseira",Volkswagen: 1J0407181A 1JO407181A,AUDI A1 2011 | Todas as versões - AUDI A1 2012 | Todas as versões - AUDI A1 2013 | Todas as versões - AUDI A1 2014 | Todas as versões - AUDI A1 2015 | VER MAIS,40169990,
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/1096717/bucha-do-braco-tensor-dianteira-externa-suspensao-automotiva-sampel-1025-unitario,Bucha do Braço Tensor Dianteira Externa Suspensão Automotiva - Sampel - 1025 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,1025,12 Meses,Unitário,,"Dianteira, Externa",Fiat: 7544738,FIAT ELBA 1985 | 1.3 1.3 L 8V SOHC L4 | 1.5 1.5 L 8V SOHC L4 - FIAT ELBA 1986 | 1.3 1.3 L 8V SOHC L4 | 1.5 1.5 L 8V SOHC L4 - FIAT ELBA 1987 | 1.3 1.3 VER MAIS,40169990,
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/7651723/bucha-traseira-da-bandeja-da-suspensao-dianteira-s-suporte-sampel-8419-unitario,Bucha Traseira da Bandeja da Suspensão Dianteira - (s / suporte) - Sampel - 8419 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,8419,,,,Traseira,,HONDA CRV 2006 | LX 2WD 2.0 L 16V SOHC L4 - HONDA CRV 2007 | EXL 4WD 2.0 L 16V SOHC L4 | LX 2WD 2.0 L 16V SOHC L4 - HONDA CRV 2008 | EXL 4WD 2.0 L 16V VER MAIS,,Unitário
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/7651647/bucha-da-barra-estabilizadora-da-suspensao-dianteira-24mm-sampel-4038-unitario,Bucha da Barra Estabilizadora da Suspensão Dianteira - Ø24mm - Sampel - 4038 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,4038,,,,Dianteira,,AUDI A3 2008 | 1.6 5P 1.6 L 8V OHC L4 | SPORT S TRONIC 1.6 L 8V OHC L4 | SPORTBACK 1.6 L 8V OHC L4 - AUDI A3 2009 | 1.6 5P 1.6 L 8V OHC L4 | SPORT S T VER MAIS,,Unitário
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/1097009/bucha-da-bandeja-dianteira-automotiva-estabilidade-conforto-sampel-2734-unitario,Bucha da Bandeja Dianteira Automotiva Estabilidade Conforto - Sampel - 2734 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,2734,12 Meses,Unitário,,Dianteira,Original Ford: 2S653063AA Ford: 2S653063AA,FORD ECOSPORT 2003 | Todas as versões - FORD ECOSPORT 2004 | Todas as versões - FORD ECOSPORT 2005 | Todas as versões - FORD ECOSPORT 2006 | Todas as VER MAIS,40169990,
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/6502482/bucha-dianteira-do-feixe-de-molas-da-suspensao-traseira-sampel-1151-unitario,Bucha Dianteira do Feixe de Molas da Suspensão Traseira - Sampel - 1151 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,1151,12 Meses,Unitário,,Dianteira,Fiat: 46766963,FIAT DOBLÒ 2002 | Todas as versões - FIAT DOBLÒ 2003 | Todas as versões - FIAT DOBLÒ 2004 | Todas as versões - FIAT DOBLÒ 2005 | Todas as versões - FI VER MAIS,,
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/7651645/bucha-da-barra-estabilizadora-da-suspensao-dianteira-17mm-sampel-1163-unitario,Bucha da Barra Estabilizadora da Suspensão Dianteira - Ø17mm - Sampel - 1163 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,1163,,,,Dianteira,,FIAT ARGO 2017 | 1.0 1.0 L 6V SOHC L3 | DRIVE 1.0 L 6V SOHC L3 - FIAT ARGO 2018 | 1.0 1.0 L 6V SOHC L3 | DRIVE 1.0 L 6V SOHC L3 - FIAT ARGO 2019 | 1.0 VER MAIS,,Unitário
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/1096982/bucha-da-bandeja-sampel-8060-unitario,Bucha da Bandeja - Sampel - 8060 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,8060,12 Meses,Unitário,,Dianteira,"Citroen: 352,398",CITROEN C3 2003 | Todas as versões - CITROEN C3 2004 | Todas as versões - CITROEN C3 2005 | Todas as versões - CITROEN C3 2006 | Todas as versões - CI VER MAIS,40169990,
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/1015366/bucha-da-bandeja-sampel-7622-unitario,Bucha da Bandeja - Sampel - 7622 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,7622,12 Meses,Unitário,,Traseira,Fiat: 1332373080,CITROEN JUMPER 2000 | Todas as versões - CITROEN JUMPER 2001 | Todas as versões - CITROEN JUMPER 2002 | Todas as versões - CITROEN JUMPER 2003 | Todas VER MAIS,87089990,
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/1015273/bucha-da-bandeja-sampel-3118-unitario,Bucha da Bandeja - Sampel - 3118 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,3118,12 Meses,Unitário,,Traseira,Chevrolet: 90468638 Original Chevrolet: 90468638,CHEVROLET ASTRA 1999 | Todas as versões - CHEVROLET ASTRA 2000 | Todas as versões - CHEVROLET ASTRA 2001 | Todas as versões - CHEVROLET ASTRA 2002 | T VER MAIS,40169990,
bucha dianteiro sampel 2756,2756,https://www.canaldapeca.com.br/p/1005762/bucha-da-bandeja-sampel-3203-unitario,Bucha da Bandeja - Sampel - 3203 - Unitário,,,,,Sampel,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(2756),Sampel,3203,12 Meses,Unitário,,"Dianteira, Inferior, Traseira da Bandeja",Original Chevrolet: 14049624,CHEVROLET BLAZER 1995 | DLX EFI 2.2 L 8V SOHC L4 - CHEVROLET BLAZER 1996 | Todas as versões - CHEVROLET BLAZER 1997 | Todas as versões - CHEVROLET BLA VER MAIS,40169990,
