cod_prod;brand;line_model;width;aspect;rim;size_norm;original_label;query_strict;keywords;size_regex;ean_gtin
34726;Dunlop;Fm800;225;45;17;225 45 r17;;pneu 225 45 r17 Dunlop Fm800;['225/45R17', '225 45 R17', 'Dunlop', 'Fm800'];\b225[/\s-]?45\s*R?\s*17\b;34726
47082;Dunlop;Grandt At5;265;65;17;265 65 r17;;pneu 265 65 r17 Dunlop Grandt At5;['265/65R17', '265 65 R17', 'Dunlop', 'Grandt At5'];\b265[/\s-]?65\s*R?\s*17\b;47082
39636;Dunlop;Grandtrek At20;225;70;17;225 70 r17;;pneu 225 70 r17 Dunlop Grandtrek At20;['225/70R17', '225 70 R17', 'Dunlop', 'Grandtrek At20'];\b225[/\s-]?70\s*R?\s*17\b;39636
38995;Dunlop;Grandtrek At25;245;70;16;245 70 r16;;pneu 245 70 r16 Dunlop Grandtrek At25;['245/70R16', '245 70 R16', 'Dunlop', 'Grandtrek At25'];\b245[/\s-]?70\s*R?\s*16\b;38995
46033;Dunlop;Grandtrek At25;255;60;18;255 60 r18;;pneu 255 60 r18 Dunlop Grandtrek At25;['255/60R18', '255 60 R18', 'Dunlop', 'Grandtrek At25'];\b255[/\s-]?60\s*R?\s*18\b;46033
34725;Dunlop;Grandtrek At5;175;70;14;175 70 r14;;pneu 175 70 r14 Dunlop Grandtrek At5;['175/70R14', '175 70 R14', 'Dunlop', 'Grandtrek At5'];\b175[/\s-]?70\s*R?\s*14\b;34725
43067;Dunlop;Grandtrek At5;205;60;16;205 60 r16;;pneu 205 60 r16 Dunlop Grandtrek At5;['205/60R16', '205 60 R16', 'Dunlop', 'Grandtrek At5'];\b205[/\s-]?60\s*R?\s*16\b;43067
10860;Dunlop;Grandtrek At5;205;70;15;205 70 r15;;pneu 205 70 r15 Dunlop Grandtrek At5;['205/70R15', '205 70 R15', 'Dunlop', 'Grandtrek At5'];\b205[/\s-]?70\s*R?\s*15\b;3245
37907;Dunlop;Grandtrek At5;265;60;18;265 60 r18;;pneu 265 60 r18 Dunlop Grandtrek At5;['265/60R18', '265 60 R18', 'Dunlop', 'Grandtrek At5'];\b265[/\s-]?60\s*R?\s*18\b;37907
36016;Dunlop;Grandtrek At5;265;70;16;265 70 r16;;pneu 265 70 r16 Dunlop Grandtrek At5;['265/70R16', '265 70 R16', 'Dunlop', 'Grandtrek At5'];\b265[/\s-]?70\s*R?\s*16\b;36016
42656;Dunlop;Grandtrek Mt2;265;70;16;265 70 r16;;pneu 265 70 r16 Dunlop Grandtrek Mt2;['265/70R16', '265 70 R16', 'Dunlop', 'Grandtrek Mt2'];\b265[/\s-]?70\s*R?\s*16\b;42656
44854;Dunlop;Grantek At5;215;60;17;215 60 r17;;pneu 215 60 r17 Dunlop Grantek At5;['215/60R17', '215 60 R17', 'Dunlop', 'Grantek At5'];\b215[/\s-]?60\s*R?\s*17\b;44854
37888;Dunlop;Grantrek At5;235;75;15;235 75 r15;;pneu 235 75 r15 Dunlop Grantrek At5;['235/75R15', '235 75 R15', 'Dunlop', 'Grantrek At5'];\b235[/\s-]?75\s*R?\s*15\b;37888
16457;Dunlop;Lm 704;185;60;14;185 60 r14;;pneu 185 60 r14 Dunlop Lm 704;['185/60R14', '185 60 R14', 'Dunlop', 'Lm 704'];\b185[/\s-]?60\s*R?\s*14\b;16457
45477;Dunlop;Sp Fm800;185;55;16;185 55 r16;;pneu 185 55 r16 Dunlop Sp Fm800;['185/55R16', '185 55 R16', 'Dunlop', 'Sp Fm800'];\b185[/\s-]?55\s*R?\s*16\b;45477
45478;Dunlop;Sp Fm800;205;55;17;205 55 r17;;pneu 205 55 r17 Dunlop Sp Fm800;['205/55R17', '205 55 R17', 'Dunlop', 'Sp Fm800'];\b205[/\s-]?55\s*R?\s*17\b;45478
34724;Dunlop;Sp Sport Fm800;185;60;15;185 60 r15;;pneu 185 60 r15 Dunlop Sp Sport Fm800;['185/60R15', '185 60 R15', 'Dunlop', 'Sp Sport Fm800'];\b185[/\s-]?60\s*R?\s*15\b;34724
33803;Dunlop;Sp Sport Fm800;185;65;15;185 65 r15;;pneu 185 65 r15 Dunlop Sp Sport Fm800;['185/65R15', '185 65 R15', 'Dunlop', 'Sp Sport Fm800'];\b185[/\s-]?65\s*R?\s*15\b;33803
33170;Dunlop;Sp Sport Fm800;195;55;15;195 55 r15;;pneu 195 55 r15 Dunlop Sp Sport Fm800;['195/55R15', '195 55 R15', 'Dunlop', 'Sp Sport Fm800'];\b195[/\s-]?55\s*R?\s*15\b;33170
32874;Dunlop;Sp Sport Fm800;195;55;16;195 55 r16;;pneu 195 55 r16 Dunlop Sp Sport Fm800;['195/55R16', '195 55 R16', 'Dunlop', 'Sp Sport Fm800'];\b195[/\s-]?55\s*R?\s*16\b;32874
33115;Dunlop;Sp Sport Fm800;195;60;15;195 60 r15;;pneu 195 60 r15 Dunlop Sp Sport Fm800;['195/60R15', '195 60 R15', 'Dunlop', 'Sp Sport Fm800'];\b195[/\s-]?60\s*R?\s*15\b;33115
33374;Dunlop;Sp Sport Fm800;195;65;15;195 65 r15;;pneu 195 65 r15 Dunlop Sp Sport Fm800;['195/65R15', '195 65 R15', 'Dunlop', 'Sp Sport Fm800'];\b195[/\s-]?65\s*R?\s*15\b;33374
32875;Dunlop;Sp Sport Fm800;205;50;17;205 50 r17;;pneu 205 50 r17 Dunlop Sp Sport Fm800;['205/50R17', '205 50 R17', 'Dunlop', 'Sp Sport Fm800'];\b205[/\s-]?50\s*R?\s*17\b;32875
34820;Dunlop;Sp Sport Fm800;205;55;16;205 55 r16;;pneu 205 55 r16 Dunlop Sp Sport Fm800;['205/55R16', '205 55 R16', 'Dunlop', 'Sp Sport Fm800'];\b205[/\s-]?55\s*R?\s*16\b;34820
33171;Dunlop;Sp Sport Fm800;205;60;15;205 60 r15;;pneu 205 60 r15 Dunlop Sp Sport Fm800;['205/60R15', '205 60 R15', 'Dunlop', 'Sp Sport Fm800'];\b205[/\s-]?60\s*R?\s*15\b;33171
36271;Dunlop;Sp Sport Fm800;215;50;17;215 50 r17;;pneu 215 50 r17 Dunlop Sp Sport Fm800;['215/50R17', '215 50 R17', 'Dunlop', 'Sp Sport Fm800'];\b215[/\s-]?50\s*R?\s*17\b;36271
33117;Dunlop;Sp Sport Fm800;225;50;17;225 50 r17;;pneu 225 50 r17 Dunlop Sp Sport Fm800;['225/50R17', '225 50 R17', 'Dunlop', 'Sp Sport Fm800'];\b225[/\s-]?50\s*R?\s*17\b;33117
28008;Dunlop;Sp Touring R1;165;70;13;165 70 r13;;pneu 165 70 r13 Dunlop Sp Touring R1;['165/70R13', '165 70 R13', 'Dunlop', 'Sp Touring R1'];\b165[/\s-]?70\s*R?\s*13\b;28008
26686;Dunlop;Sp Touring R1;175;65;14;175 65 r14;;pneu 175 65 r14 Dunlop Sp Touring R1;['175/65R14', '175 65 R14', 'Dunlop', 'Sp Touring R1'];\b175[/\s-]?65\s*R?\s*14\b;26686
28007;Dunlop;Sp Touring R1;175;70;13;175 70 r13;;pneu 175 70 r13 Dunlop Sp Touring R1;['175/70R13', '175 70 R13', 'Dunlop', 'Sp Touring R1'];\b175[/\s-]?70\s*R?\s*13\b;28007
27494;Dunlop;Sp Touring R1;175;70;14;175 70 r14;;pneu 175 70 r14 Dunlop Sp Touring R1;['175/70R14', '175 70 R14', 'Dunlop', 'Sp Touring R1'];\b175[/\s-]?70\s*R?\s*14\b;27494
27495;Dunlop;Sp Touring R1;185;65;14;185 65 r14;;pneu 185 65 r14 Dunlop Sp Touring R1;['185/65R14', '185 65 R14', 'Dunlop', 'Sp Touring R1'];\b185[/\s-]?65\s*R?\s*14\b;27495
27147;Dunlop;Sp Touring R1;185;70;14;185 70 r14;;pneu 185 70 r14 Dunlop Sp Touring R1;['185/70R14', '185 70 R14', 'Dunlop', 'Sp Touring R1'];\b185[/\s-]?70\s*R?\s*14\b;27147
25982;Dunlop;Sp320;215;75;17;215 75 r17;;pneu 215 75 r17 Dunlop Sp320;['215/75R17', '215 75 R17', 'Dunlop', 'Sp320'];\b215[/\s-]?75\s*R?\s*17\b;25982
27242;Dunlop;Sp320;235;75;17;235 75 r17;;pneu 235 75 r17 Dunlop Sp320;['235/75R17', '235 75 R17', 'Dunlop', 'Sp320'];\b235[/\s-]?75\s*R?\s*17\b;27242
32045;Dunlop;Sp320;275;80;22;275 80 r22;;pneu 275 80 r22 Dunlop Sp320;['275/80R22', '275 80 R22', 'Dunlop', 'Sp320'];\b275[/\s-]?80\s*R?\s*22\b;32045
28684;Dunlop;Sp835;275;80;22;275 80 r22;;pneu 275 80 r22 Dunlop Sp835;['275/80R22', '275 80 R22', 'Dunlop', 'Sp835'];\b275[/\s-]?80\s*R?\s*22\b;28684
37226;Dunlop;Sport Max050;225;45;17;225 45 r17;;pneu 225 45 r17 Dunlop Sport Max050;['225/45R17', '225 45 R17', 'Dunlop', 'Sport Max050'];\b225[/\s-]?45\s*R?\s*17\b;37226
27454;Dunlop;Touring R1;185;70;13;185 70 r13;;pneu 185 70 r13 Dunlop Touring R1;['185/70R13', '185 70 R13', 'Dunlop', 'Touring R1'];\b185[/\s-]?70\s*R?\s*13\b;27454
47609;Durable;City Dc01;175;65;15;175 65 r15;;pneu 175 65 r15 Durable City Dc01;['175/65R15', '175 65 R15', 'Durable', 'City Dc01'];\b175[/\s-]?65\s*R?\s*15\b;47609
39544;Durable;Dr755;295;80;22;295 80 r22;;pneu 295 80 r22 Durable Dr755;['295/80R22', '295 80 R22', 'Durable', 'Dr755'];\b295[/\s-]?80\s*R?\s*22\b;39544
26061;Dyna;S526;207;8;15;207 8 r15;;pneu 207 8 r15 Dyna S526;['207/8R15', '207 8 R15', 'Dyna', 'S526'];\b207[/\s-]?8\s*R?\s*15\b;7891100352600
46418;Dynamo;Mh01;205;55;16;205 55 r16;;pneu 205 55 r16 Dynamo Mh01;['205/55R16', '205 55 R16', 'Dynamo', 'Mh01'];\b205[/\s-]?55\s*R?\s*16\b;46418
35966;Ecovision;Vi386 Hp;215;60;17;215 60 r17;;pneu 215 60 r17 Ecovision Vi386 Hp;['215/60R17', '215 60 R17', 'Ecovision', 'Vi386 Hp'];\b215[/\s-]?60\s*R?\s*17\b;35966
18650;Falken;Linam R51;225;70;15;225 70 r15;;pneu 225 70 r15 Falken Linam R51;['225/70R15', '225 70 R15', 'Falken', 'Linam R51'];\b225[/\s-]?70\s*R?\s*15\b;18650
19075;Falken;Wildpeak A/T;235;75;15;235 75 r15;;pneu 235 75 r15 Falken Wildpeak A/T;['235/75R15', '235 75 R15', 'Falken', 'Wildpeak A/T'];\b235[/\s-]?75\s*R?\s*15\b;19075
20759;Falken;Ziex Ze914;195;55;16;195 55 r16;;pneu 195 55 r16 Falken Ziex Ze914;['195/55R16', '195 55 R16', 'Falken', 'Ziex Ze914'];\b195[/\s-]?55\s*R?\s*16\b;20759
27196;Farroad;Frd26;215;40;18;215 40 r18;;pneu 215 40 r18 Farroad Frd26;['215/40R18', '215 40 R18', 'Farroad', 'Frd26'];\b215[/\s-]?40\s*R?\s*18\b;27196
34373;Farroad;Frd26;235;40;18;235 40 r18;;pneu 235 40 r18 Farroad Frd26;['235/40R18', '235 40 R18', 'Farroad', 'Frd26'];\b235[/\s-]?40\s*R?\s*18\b;34373
48328;Farroad;Frd66;225;65;17;225 65 r17;;pneu 225 65 r17 Farroad Frd66;['225/65R17', '225 65 R17', 'Farroad', 'Frd66'];\b225[/\s-]?65\s*R?\s*17\b;48328
27152;Farroad;Frd96;195;65;16;195 65 r16;;pneu 195 65 r16 Farroad Frd96;['195/65R16', '195 65 R16', 'Farroad', 'Frd96'];\b195[/\s-]?65\s*R?\s*16\b;27152
44138;Fate;Sentiva Ar360;185;65;14;185 65 r14;;pneu 185 65 r14 Fate Sentiva Ar360;['185/65R14', '185 65 R14', 'Fate', 'Sentiva Ar360'];\b185[/\s-]?65\s*R?\s*14\b;44138
47245;Firemax;Fm601;225;45;17;225 45 r17;;pneu 225 45 r17 Firemax Fm601;['225/45R17', '225 45 R17', 'Firemax', 'Fm601'];\b225[/\s-]?45\s*R?\s*17\b;47245
35131;Firestone;Atx Destination;265;65;17;265 65 r17;;pneu 265 65 r17 Firestone Atx Destination;['265/65R17', '265 65 R17', 'Firestone', 'Atx Destination'];\b265[/\s-]?65\s*R?\s*17\b;35131
36587;Firestone;Destination A/T;245;70;16;245 70 r16;;pneu 245 70 r16 Firestone Destination A/T;['245/70R16', '245 70 R16', 'Firestone', 'Destination A/T'];\b245[/\s-]?70\s*R?\s*16\b;36587
37662;Firestone;Destination Atx;265;70;16;265 70 r16;;pneu 265 70 r16 Firestone Destination Atx;['265/70R16', '265 70 R16', 'Firestone', 'Destination Atx'];\b265[/\s-]?70\s*R?\s*16\b;37662
32527;Firestone;Destination H/T;265;65;17;265 65 r17;;pneu 265 65 r17 Firestone Destination H/T;['265/65R17', '265 65 R17', 'Firestone', 'Destination H/T'];\b265[/\s-]?65\s*R?\s*17\b;32527
45516;Firestone;Destination Le3;205;65;16;205 65 r16;;pneu 205 65 r16 Firestone Destination Le3;['205/65R16', '205 65 R16', 'Firestone', 'Destination Le3'];\b205[/\s-]?65\s*R?\s*16\b;45516
21310;Firestone;F700;175;65;14;175 65 r14;;pneu 175 65 r14 Firestone F700;['175/65R14', '175 65 R14', 'Firestone', 'F700'];\b175[/\s-]?65\s*R?\s*14\b;21310
22005;Firestone;F700;175;70;14;175 70 r14;;pneu 175 70 r14 Firestone F700;['175/70R14', '175 70 R14', 'Firestone', 'F700'];\b175[/\s-]?70\s*R?\s*14\b;22005
33333;Firestone;F700;185;60;15;185 60 r15;;pneu 185 60 r15 Firestone F700;['185/60R15', '185 60 R15', 'Firestone', 'F700'];\b185[/\s-]?60\s*R?\s*15\b;33333
3153;Firestone;F700;185;70;14;185 70 r14;;pneu 185 70 r14 Firestone F700;['185/70R14', '185 70 R14', 'Firestone', 'F700'];\b185[/\s-]?70\s*R?\s*14\b;3153
33523;Firestone;F700;195;55;15;195 55 r15;;pneu 195 55 r15 Firestone F700;['195/55R15', '195 55 R15', 'Firestone', 'F700'];\b195[/\s-]?55\s*R?\s*15\b;33523
3212;Firestone;F700;195;65;15;195 65 r15;;pneu 195 65 r15 Firestone F700;['195/65R15', '195 65 R15', 'Firestone', 'F700'];\b195[/\s-]?65\s*R?\s*15\b;3212
40280;Firestone;F700+;225;50;17;225 50 r17;;pneu 225 50 r17 Firestone F700+;['225/50R17', '225 50 R17', 'Firestone', 'F700+'];\b225[/\s-]?50\s*R?\s*17\b;40280
34338;Firestone;Fs558;235;75;17;235 75 r17;;pneu 235 75 r17 Firestone Fs558;['235/75R17', '235 75 R17', 'Firestone', 'Fs558'];\b235[/\s-]?75\s*R?\s*17\b;34338
45005;Forceland;Vitality F22;195;50;15;195 50 r15;;pneu 195 50 r15 Forceland Vitality F22;['195/50R15', '195 50 R15', 'Forceland', 'Vitality F22'];\b195[/\s-]?50\s*R?\s*15\b;45005
45534;Forceland;Vitality F22;205;55;16;205 55 r16;;pneu 205 55 r16 Forceland Vitality F22;['205/55R16', '205 55 R16', 'Forceland', 'Vitality F22'];\b205[/\s-]?55\s*R?\s*16\b;45534
48329;Forceland;Vitality F22;215;45;17;215 45 r17;;pneu 215 45 r17 Forceland Vitality F22;['215/45R17', '215 45 R17', 'Forceland', 'Vitality F22'];\b215[/\s-]?45\s*R?\s*17\b;48329
43503;Forceland;Vitality F22;215;60;17;215 60 r17;;pneu 215 60 r17 Forceland Vitality F22;['215/60R17', '215 60 R17', 'Forceland', 'Vitality F22'];\b215[/\s-]?60\s*R?\s*17\b;43503
20198;Formula;Energy;175;70;13;175 70 r13;;pneu 175 70 r13 Formula Energy;['175/70R13', '175 70 R13', 'Formula', 'Energy'];\b175[/\s-]?70\s*R?\s*13\b;20198
30616;Formula;Evo;195;55;15;195 55 r15;;pneu 195 55 r15 Formula Evo;['195/55R15', '195 55 R15', 'Formula', 'Evo'];\b195[/\s-]?55\s*R?\s*15\b;30616
39800;Formula;Evo;195;60;15;195 60 r15;;pneu 195 60 r15 Formula Evo;['195/60R15', '195 60 R15', 'Formula', 'Evo'];\b195[/\s-]?60\s*R?\s*15\b;39800
30832;Goform;Gs03;245;65;17;245 65 r17;;pneu 245 65 r17 Goform Gs03;['245/65R17', '245 65 R17', 'Goform', 'Gs03'];\b245[/\s-]?65\s*R?\s*17\b;30832
33372;Goodyear;Assur. Maxlife;165;70;13;165 70 r13;;pneu 165 70 r13 Goodyear Assur. Maxlife;['165/70R13', '165 70 R13', 'Goodyear', 'Assur. Maxlife'];\b165[/\s-]?70\s*R?\s*13\b;33372
34564;Goodyear;Assur. Maxlife;165;70;14;165 70 r14;;pneu 165 70 r14 Goodyear Assur. Maxlife;['165/70R14', '165 70 R14', 'Goodyear', 'Assur. Maxlife'];\b165[/\s-]?70\s*R?\s*14\b;34564
30456;Goodyear;Assur. Maxlife;175;65;14;175 65 r14;;pneu 175 65 r14 Goodyear Assur. Maxlife;['175/65R14', '175 65 R14', 'Goodyear', 'Assur. Maxlife'];\b175[/\s-]?65\s*R?\s*14\b;30456
30451;Goodyear;Assur. Maxlife;175;70;13;175 70 r13;;pneu 175 70 r13 Goodyear Assur. Maxlife;['175/70R13', '175 70 R13', 'Goodyear', 'Assur. Maxlife'];\b175[/\s-]?70\s*R?\s*13\b;30451
31764;Goodyear;Assur. Maxlife;175;70;14;175 70 r14;;pneu 175 70 r14 Goodyear Assur. Maxlife;['175/70R14', '175 70 R14', 'Goodyear', 'Assur. Maxlife'];\b175[/\s-]?70\s*R?\s*14\b;31764
33194;Goodyear;Assur. Maxlife;185;70;14;185 70 r14;;pneu 185 70 r14 Goodyear Assur. Maxlife;['185/70R14', '185 70 R14', 'Goodyear', 'Assur. Maxlife'];\b185[/\s-]?70\s*R?\s*14\b;33194
44329;Goodyear;Assurance Maxlife;185;65;14;185 65 r14;;pneu 185 65 r14 Goodyear Assurance Maxlife;['185/65R14', '185 65 R14', 'Goodyear', 'Assurance Maxlife'];\b185[/\s-]?65\s*R?\s*14\b;44329
40691;Goodyear;Cargo Marathon 2;195;75;16;195 75 r16;;pneu 195 75 r16 Goodyear Cargo Marathon 2;['195/75R16', '195 75 R16', 'Goodyear', 'Cargo Marathon 2'];\b195[/\s-]?75\s*R?\s*16\b;40691
27722;Goodyear;Cargo Marathon 2;205;70;15;205 70 r15;;pneu 205 70 r15 Goodyear Cargo Marathon 2;['205/70R15', '205 70 R15', 'Goodyear', 'Cargo Marathon 2'];\b205[/\s-]?70\s*R?\s*15\b;27722
27074;Goodyear;Cargo Marathon 2;205;75;16;205 75 r16;;pneu 205 75 r16 Goodyear Cargo Marathon 2;['205/75R16', '205 75 R16', 'Goodyear', 'Cargo Marathon 2'];\b205[/\s-]?75\s*R?\s*16\b;27074
27073;Goodyear;Cargo Marathon 2;225;75;16;225 75 r16;;pneu 225 75 r16 Goodyear Cargo Marathon 2;['225/75R16', '225 75 R16', 'Goodyear', 'Cargo Marathon 2'];\b225[/\s-]?75\s*R?\s*16\b;27073
41383;Goodyear;Direction 2 Suv;205;65;15;205 65 r15;;pneu 205 65 r15 Goodyear Direction 2 Suv;['205/65R15', '205 65 R15', 'Goodyear', 'Direction 2 Suv'];\b205[/\s-]?65\s*R?\s*15\b;41383
24119;Goodyear;Direction Touring;175;65;14;175 65 r14;;pneu 175 65 r14 Goodyear Direction Touring;['175/65R14', '175 65 R14', 'Goodyear', 'Direction Touring'];\b175[/\s-]?65\s*R?\s*14\b;24119
37198;Goodyear;Eagle Sport 2;185;55;16;185 55 r16;;pneu 185 55 r16 Goodyear Eagle Sport 2;['185/55R16', '185 55 R16', 'Goodyear', 'Eagle Sport 2'];\b185[/\s-]?55\s*R?\s*16\b;37198
37048;Goodyear;Eagle Sport 2;185;60;15;185 60 r15;;pneu 185 60 r15 Goodyear Eagle Sport 2;['185/60R15', '185 60 R15', 'Goodyear', 'Eagle Sport 2'];\b185[/\s-]?60\s*R?\s*15\b;37048
36981;Goodyear;Eagle Sport 2;185;65;15;185 65 r15;;pneu 185 65 r15 Goodyear Eagle Sport 2;['185/65R15', '185 65 R15', 'Goodyear', 'Eagle Sport 2'];\b185[/\s-]?65\s*R?\s*15\b;36981
36025;Goodyear;Eagle Sport 2;195;55;15;195 55 r15;;pneu 195 55 r15 Goodyear Eagle Sport 2;['195/55R15', '195 55 R15', 'Goodyear', 'Eagle Sport 2'];\b195[/\s-]?55\s*R?\s*15\b;36025
38791;Goodyear;Eagle Sport 2;195;55;16;195 55 r16;;pneu 195 55 r16 Goodyear Eagle Sport 2;['195/55R16', '195 55 R16', 'Goodyear', 'Eagle Sport 2'];\b195[/\s-]?55\s*R?\s*16\b;38791
37365;Goodyear;Eagle Sport 2;195;65;15;195 65 r15;;pneu 195 65 r15 Goodyear Eagle Sport 2;['195/65R15', '195 65 R15', 'Goodyear', 'Eagle Sport 2'];\b195[/\s-]?65\s*R?\s*15\b;37365
36000;Goodyear;Eagle Sport 2;205;55;16;205 55 r16;;pneu 205 55 r16 Goodyear Eagle Sport 2;['205/55R16', '205 55 R16', 'Goodyear', 'Eagle Sport 2'];\b205[/\s-]?55\s*R?\s*16\b;36000
37195;Goodyear;Eagle Sport 2;225;50;17;225 50 r17;;pneu 225 50 r17 Goodyear Eagle Sport 2;['225/50R17', '225 50 R17', 'Goodyear', 'Eagle Sport 2'];\b225[/\s-]?50\s*R?\s*17\b;37195
34597;Goodyear;Eagle Touring;205;50;17;205 50 r17;;pneu 205 50 r17 Goodyear Eagle Touring;['205/50R17', '205 50 R17', 'Goodyear', 'Eagle Touring'];\b205[/\s-]?50\s*R?\s*17\b;34597
47305;Goodyear;Edge Suv 2;255;75;15;255 75 r15;;pneu 255 75 r15 Goodyear Edge Suv 2;['255/75R15', '255 75 R15', 'Goodyear', 'Edge Suv 2'];\b255[/\s-]?75\s*R?\s*15\b;47305
47554;Goodyear;Edge Suv 2 Sl;235;60;16;235 60 r16;;pneu 235 60 r16 Goodyear Edge Suv 2 Sl;['235/60R16', '235 60 R16', 'Goodyear', 'Edge Suv 2 Sl'];\b235[/\s-]?60\s*R?\s*16\b;47554
21062;Goodyear;Efficientgrip;185;70;14;185 70 r14;;pneu 185 70 r14 Goodyear Efficientgrip;['185/70R14', '185 70 R14', 'Goodyear', 'Efficientgrip'];\b185[/\s-]?70\s*R?\s*14\b;21062
27235;Goodyear;Efficientgrip;195;55;15;195 55 r15;;pneu 195 55 r15 Goodyear Efficientgrip;['195/55R15', '195 55 R15', 'Goodyear', 'Efficientgrip'];\b195[/\s-]?55\s*R?\s*15\b;27235
46801;Goodyear;Efficientgrip;195;60;15;195 60 r15;;pneu 195 60 r15 Goodyear Efficientgrip;['195/60R15', '195 60 R15', 'Goodyear', 'Efficientgrip'];\b195[/\s-]?60\s*R?\s*15\b;46801
12477;Goodyear;Efficientgrip;195;65;15;195 65 r15;;pneu 195 65 r15 Goodyear Efficientgrip;['195/65R15', '195 65 R15', 'Goodyear', 'Efficientgrip'];\b195[/\s-]?65\s*R?\s*15\b;12477
19887;Goodyear;Efficientgrip;205;60;15;205 60 r15;;pneu 205 60 r15 Goodyear Efficientgrip;['205/60R15', '205 60 R15', 'Goodyear', 'Efficientgrip'];\b205[/\s-]?60\s*R?\s*15\b;19887
21264;Goodyear;Efficientgrip;215;50;17;215 50 r17;;pneu 215 50 r17 Goodyear Efficientgrip;['215/50R17', '215 50 R17', 'Goodyear', 'Efficientgrip'];\b215[/\s-]?50\s*R?\s*17\b;21264
27243;Goodyear;Efficientgrip Suv;215;55;17;215 55 r17;;pneu 215 55 r17 Goodyear Efficientgrip Suv;['215/55R17', '215 55 R17', 'Goodyear', 'Efficientgrip Suv'];\b215[/\s-]?55\s*R?\s*17\b;27243
35247;Goodyear;Efficientgrip Suv;215;60;17;215 60 r17;;pneu 215 60 r17 Goodyear Efficientgrip Suv;['215/60R17', '215 60 R17', 'Goodyear', 'Efficientgrip Suv'];\b215[/\s-]?60\s*R?\s*17\b;35247
27237;Goodyear;Efficientgrip Suv;225;55;18;225 55 r18;;pneu 225 55 r18 Goodyear Efficientgrip Suv;['225/55R18', '225 55 R18', 'Goodyear', 'Efficientgrip Suv'];\b225[/\s-]?55\s*R?\s*18\b;27237
32665;Goodyear;Efficientgrip Suv;235;55;19;235 55 r19;;pneu 235 55 r19 Goodyear Efficientgrip Suv;['235/55R19', '235 55 R19', 'Goodyear', 'Efficientgrip Suv'];\b235[/\s-]?55\s*R?\s*19\b;32665
27238;Goodyear;Efficientgrip Suv;255;55;19;255 55 r19;;pneu 255 55 r19 Goodyear Efficientgrip Suv;['255/55R19', '255 55 R19', 'Goodyear', 'Efficientgrip Suv'];\b255[/\s-]?55\s*R?\s*19\b;27238
47553;Goodyear;Efficientgrip Suv Xl;235;55;18;235 55 r18;;pneu 235 55 r18 Goodyear Efficientgrip Suv Xl;['235/55R18', '235 55 R18', 'Goodyear', 'Efficientgrip Suv Xl'];\b235[/\s-]?55\s*R?\s*18\b;47553
41274;Goodyear;Fortitude Ht;225;60;17;225 60 r17;;pneu 225 60 r17 Goodyear Fortitude Ht;['225/60R17', '225 60 R17', 'Goodyear', 'Fortitude Ht'];\b225[/\s-]?60\s*R?\s*17\b;41274
10753;Goodyear;G32 Cargo;225;65;16;225 65 r16;;pneu 225 65 r16 Goodyear G32 Cargo;['225/65R16', '225 65 R16', 'Goodyear', 'G32 Cargo'];\b225[/\s-]?65\s*R?\s*16\b;10753
47555;Goodyear;Ht Wrgl Territory;265;60;18;265 60 r18;;pneu 265 60 r18 Goodyear Ht Wrgl Territory;['265/60R18', '265 60 R18', 'Goodyear', 'Ht Wrgl Territory'];\b265[/\s-]?60\s*R?\s*18\b;47555
32171;Goodyear;Kelly Edge Sport;195;50;16;195 50 r16;;pneu 195 50 r16 Goodyear Kelly Edge Sport;['195/50R16', '195 50 R16', 'Goodyear', 'Kelly Edge Sport'];\b195[/\s-]?50\s*R?\s*16\b;32171
20539;Goodyear;Kelly Edge Sport;195;60;15;195 60 r15;;pneu 195 60 r15 Goodyear Kelly Edge Sport;['195/60R15', '195 60 R15', 'Goodyear', 'Kelly Edge Sport'];\b195[/\s-]?60\s*R?\s*15\b;20539
46533;Goodyear;Kelly Edge Sport 2;175;65;15;175 65 r15;;pneu 175 65 r15 Goodyear Kelly Edge Sport 2;['175/65R15', '175 65 R15', 'Goodyear', 'Kelly Edge Sport 2'];\b175[/\s-]?65\s*R?\s*15\b;46533
23403;Goodyear;Kelly Edge Sport 2;205;40;17;205 40 r17;;pneu 205 40 r17 Goodyear Kelly Edge Sport 2;['205/40R17', '205 40 R17', 'Goodyear', 'Kelly Edge Sport 2'];\b205[/\s-]?40\s*R?\s*17\b;1234567891234
44542;Goodyear;Kelly Edge Sport 2;225;45;17;225 45 r17;;pneu 225 45 r17 Goodyear Kelly Edge Sport 2;['225/45R17', '225 45 R17', 'Goodyear', 'Kelly Edge Sport 2'];\b225[/\s-]?45\s*R?\s*17\b;44542
23968;Goodyear;Kelly Edge Suv 2;175;80;14;175 80 r14;;pneu 175 80 r14 Goodyear Kelly Edge Suv 2;['175/80R14', '175 80 R14', 'Goodyear', 'Kelly Edge Suv 2'];\b175[/\s-]?80\s*R?\s*14\b;23968
43998;Goodyear;Kelly Edge Suv 2;215;80;16;215 80 r16;;pneu 215 80 r16 Goodyear Kelly Edge Suv 2;['215/80R16', '215 80 R16', 'Goodyear', 'Kelly Edge Suv 2'];\b215[/\s-]?80\s*R?\s*16\b;43998
