query,searched_part,url,title,price,currency,price_num,matched_part,matched_brand,part_match,sale_type,units,price_per_unit,desc_excerpt,source,accepted,decision_reason,spec:Marca,spec:Código do Produto,spec:NCM,spec:Garantia,spec:Tipo,spec:Registro Inmetro,spec:Posição,spec:Composição,spec:Código de barras,spec:Código da Montadora,spec:Aplicação,spec:Consulte o Manual,spec:Conteúdo,spec:Lado
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/10206128/amortecedor-dianteiro-mbb-cofap-l13323-unitario,AMORTECEDOR DIANTEIRO MBB - Cofap - L13323 - Unitário,1320.82,BRL,132082.00,,Cofap,0,UNIDADE,1,132082.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,L13323,87088000,,,,,,,,,,Unitário,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1554115/amortecedor-dianteiro-powershock-cofap-gp32914ps-unitario,Amortecedor Dianteiro Powershock - Cofap - GP32914PS - Unitário,2003.95,BRL,200395.00,,Cofap,0,UNIDADE,1,200395.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,GP32914PS,8708800002,24 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,Powershock,"127/2013, 4166/2012, 4169/2012",Dianteira,Unitário,7891579345158,Fiat: 519156830,FIAT GRAND SIENA 2012 | Todas as versões - FIAT GRAND SIENA 2013 | Todas as versões - FIAT GRAND SIENA 2014 | Todas as versões - FIAT GRAND SIENA 2015 VER MAIS,,,Direito
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1554250/amortecedor-dianteiro-powershock-cofap-gp32913ps-unitario,Amortecedor Dianteiro Powershock - Cofap - GP32913PS - Unitário,2003.95,BRL,200395.00,,Cofap,0,UNIDADE,1,200395.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,GP32913PS,8708800002,24 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,Powershock,"127/2013, 4166/2012, 4169/2012",Dianteira,Unitário,7891579346278,Fiat: 519156820,FIAT GRAND SIENA 2012 | Todas as versões - FIAT GRAND SIENA 2013 | Todas as versões - FIAT GRAND SIENA 2014 | Todas as versões - FIAT GRAND SIENA 2015 VER MAIS,,,Esquerdo
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1124270/amortecedor-dianteiro-powershock-cofap-gp32823ps-unitario,Amortecedor Dianteiro Powershock - Cofap - GP32823PS - Unitário,746.89,BRL,74689.00,,Cofap,0,UNIDADE,1,74689.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,GP32823PS,8708800002,24 meses para veículos de passeio e 06 meses para veículos utilitários,Powershock,"127/2013, 4166/2012, 4169/2012",Dianteira,Unitário,7891579331533,Fiat: 00518339810,FIAT UNO 2010 | (SEM BARRA ESTABILIZADORA) - FIAT UNO 2011 | (SEM BARRA ESTABILIZADORA) - FIAT UNO 2012 | (SEM BARRA ESTABILIZADORA) - FIAT UNO 2013 | VER MAIS,,,Direito
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1082673/amortecedor-dianteiro-spa-cofap-sb27449-unitario,Amortecedor Dianteiro Spa - Cofap - SB27449 - Unitário,2003.95,BRL,200395.00,,Cofap,0,UNIDADE,1,200395.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SB27449,8708800001,12 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,SPA,"021/2013, 1894/2013, 4167/2012",Dianteira,Unitário,7891579298416,,VOLKSWAGEN KOMBI 1958 | 1200 | 1500 - VOLKSWAGEN KOMBI 1960 | 1200 | 1500 - VOLKSWAGEN KOMBI 1961 | 1200 | 1500 - VOLKSWAGEN KOMBI 1962 | 1200 | 1500 VER MAIS,Download,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1012826/amortecedor-dianteiro-spa-cofap-sb27016-unitario,Amortecedor Dianteiro Spa - Cofap - SB27016 - Unitário,2003.95,BRL,200395.00,,Cofap,0,UNIDADE,1,200395.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SB27016,8708800002,12 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,SPA,"021/2013, 4167/2012",Dianteira,Unitário,7891579022752,,CHEVROLET CHEVETTE 1973 | STD | HATCH - CHEVROLET CHEVETTE 1974 | STD | HATCH - CHEVROLET CHEVETTE 1975 | STD | HATCH - CHEVROLET CHEVETTE 1976 | STD VER MAIS,Download,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1012825/amortecedor-dianteiro-spa-cofap-sl30045-unitario,Amortecedor Dianteiro Spa - Cofap - SL30045 - Unitário,2003.95,BRL,200395.00,,Cofap,0,UNIDADE,1,200395.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SL30045,8708800001,12 Meses para Veículos de Passeio e 06 Meses para Veículos Utilitários,SPA,"022/2013, 4165/2012",Dianteira,Unitário,7891579093981,,FORD PAMPA 1982 | 4X2 - FORD PAMPA 1983 | 4X2 - FORD PAMPA 1984 | 4X2 - FORD PAMPA 1985 | 4X2 - FORD PAMPA 1986 | 4X2 - FORD PAMPA 1987 | 4X2 - FORD P VER MAIS,Download,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1686949/amortecedor-dianteiro-spa-cofap-sl30021-par,Amortecedor Dianteiro Spa - Cofap - SL30021 - Par,1320.82,BRL,132082.00,,Cofap,0,PAR,2,66041.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SL30021,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"022/2013, 4165/2012",Dianteira,Par,7891579024237,,FORD BELINA 1970 | 4X2 - FORD BELINA 1971 | 4X2 - FORD BELINA 1972 | 4X2 - FORD BELINA 1973 | 4X2 - FORD BELINA 1974 | 4X2 - FORD BELINA 1975 | 4X2 - VER MAIS,Download,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1012443/amortecedor-dianteiro-spa-cofap-sc30320-unitario,Amortecedor Dianteiro Spa - Cofap - SC30320 - Unitário,2003.95,BRL,200395.00,,Cofap,0,UNIDADE,1,200395.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SC30320,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"024/2013, 4164/2012",Dianteira,Unitário,7891579216410,,FIAT DUNA 1993 | Todas as versões - FIAT DUNA 1994 | Todas as versões - FIAT DUNA 1995 | Todas as versões - FIAT DUNA 1996 | Todas as versões - FIAT E VER MAIS,Download,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1231686/amortecedor-dianteiro-spa-cofap-sc32548-unitario,Amortecedor Dianteiro Spa - Cofap - SC32548 - Unitário,316.3,BRL,3163.00,,Cofap,0,UNIDADE,1,3163.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SC32548,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"024/2013, 4164/2012",Dianteira,Unitário,7891579121394,Original Chevrolet: 93218913,CHEVROLET MONZA 1983 | Todas as versões - CHEVROLET MONZA 1984 | Todas as versões - CHEVROLET MONZA 1985 | Todas as versões - CHEVROLET MONZA 1986 | T VER MAIS,Download,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1692419/amortecedor-dianteiro-spa-cofap-sm27025-par,Amortecedor Dianteiro Spa - Cofap - SM27025 - Par,786.06,BRL,78606.00,,Cofap,0,PAR,2,39303.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SM27025,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"023/2013, 127/2013, 4166/2012, 4169/2012",Dianteira,Par,7891579216458,,FORD ESCORT 1984 | HOBBY / GUARUJÁ - GL / L / GHIA / XR3 / XR3 SEM AR / XR3 CONVERSÍVEL 1.0 / 1.6 / 1.8 - FORD ESCORT 1985 | HOBBY / GUARUJÁ - GL / L VER MAIS,Download,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1554078/amortecedor-dianteiro-spa-cofap-sm27025-unitario,Amortecedor Dianteiro Spa - Cofap - SM27025 - Unitário,403.1,BRL,4031.00,,Cofap,0,UNIDADE,1,4031.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SM27025,8708800002,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"023/2013, 127/2013, 4166/2012, 4169/2012",Dianteira,Unitário,7891579216458,Bosch: 30880,FORD ESCORT 1984 | HOBBY / GUARUJÁ - GL / L / GHIA / XR3 / XR3 SEM AR / XR3 CONVERSÍVEL 1.0 / 1.6 / 1.8 - FORD ESCORT 1985 | HOBBY / GUARUJÁ - GL / L VER MAIS,Download,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1003052/amortecedor-dianteiro-spa-cofap-sl30044-unitario,Amortecedor Dianteiro Spa - Cofap - SL30044 - Unitário,330.75,BRL,33075.00,,Cofap,0,UNIDADE,1,33075.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,SL30044,8708800001,12 meses para veículos de passeio e 06 meses para veículos utilitários,SPA,"022/2013, 4165/2012",Dianteira,Unitário,7891579093974,,FORD PAMPA 1982 | 4X4 - FORD PAMPA 1983 | 4X4 - FORD PAMPA 1984 | 4X4 - FORD PAMPA 1985 | 4X4 - FORD PAMPA 1986 | 4X4 - FORD PAMPA 1987 | 4X4 - FORD P VER MAIS,Download,,
amortecedor dianteiro cofap GP30179,GP30179,https://www.canaldapeca.com.br/p/1554318/amortecedor-dianteiro-super-cofap-l13322-unitario,Amortecedor Dianteiro Super - Cofap - L.13322 - Unitário,1320.82,BRL,132082.00,,Cofap,0,UNIDADE,1,132082.00,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(GP30179),Cofap,L.13322,8708800001,24 meses para veículos de passeio e 06 meses para veículos utilitários,Super,"021/2013, 4167/2012",Dianteiro,Unitário,7891579314192,Original: A.958.323.1700,MERCEDES-BENZ AXOR 3340 2006 | Todas as versões - MERCEDES-BENZ AXOR 3340 2007 | Todas as versões - MERCEDES-BENZ AXOR 3340 2008 | Todas as versões - VER MAIS,Download,,
